restaurant_id,food_category,local_category,title,image_link,open_day,close_day,open_time,close_time,break_time,isParking,isValet,isPet,isPackaging,address,phone,introduction,menu_url
1,햄버거,성수동,보어드앤헝그리,"""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\boredhungry_01.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\boredhungry_02.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\boredhungry_03.jpeg""",매일,,11:00,20:50,15:50-17:00,FALSE,FALSE,TRUE,TRUE,서울 성동구 성수이로12길 17-1 1층,0507-1373-8638,"2022년 미국 '최고의햄버거' 상을 받은 브랜드로써 대한민국에서 가장 정통적인 스매쉬드 버거를 제공합니다.
멋진 공간에서 가장 훌륭한 음식을 보여드리겠습니다.","https://map.naver.com/p/search/%EB%B3%B4%EC%96%B4%EB%93%9C%EC%95%A4%ED%97%9D%EA%B7%B8%EB%A6%AC/place/1995959267?c=15.00,0,0,0,dh&placePath=/menu&isCorrectAnswer=true"
2,베트남,성수동,하노이102,"""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\하노이102_01.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\하노이102_02.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\하노이102_03.jpeg""","월, 수~일",화,11:30,21:00,15:30-17:00,FALSE,FALSE,TRUE,FALSE,서울 성동구 서울숲6길 18,0507-1433-5102,,"https://map.naver.com/p/search/%ED%95%98%EB%85%B8%EC%9D%B4102/place/1926242423?c=15.00,0,0,0,dh&placePath=/menu&isCorrectAnswer=true"
3,샌드위치,성수동,라지라프,"""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\라지라프_01.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\라지라프_02.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\라지라프_03.jpeg"" ",매일,,11:00,20:00,,FALSE,FALSE,TRUE,TRUE,서울 성동구 연무장길 88 2층(성수동2가),0507-1361-2442,"성수 버거다이닝 르프리크의 세컨드 레스토랑.
하이엔드 샌드위치와 브루드 커피, 수제 콤부차를 제공하는 샌드위치 다이닝 라지라프입니다.","https://map.naver.com/p/search/%EB%9D%BC%EC%A7%80%EB%9D%BC%ED%94%84/place/1051261551?c=15.00,0,0,0,dh&placePath=/menu&isCorrectAnswer=true"
4,감자탕,성수동,소문난성수감자탕,"""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\소문난성수감자탕_01.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\소문난성수감자탕_02.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\소문난성수감자탕_03.jpeg""",매일,,24시간영업,,,TRUE,FALSE,FALSE,TRUE,서울 성동구 연무장길 45,02-465-6580,,"https://map.naver.com/p/entry/place/11721256?c=15.00,0,0,0,dh&placePath=/menu"
5,커피,성수동,레이더,"""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\레이더_01.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\레이더_02.jpeg"", ""C:\Users\Playdata\Documents\최종프로젝트\restaurant_image\레이더_03.jpeg""",매일,,11:00,21:00,,FALSE,FALSE,FALSE,TRUE,서울 성동구 연무장길 39-29 레이더,02-6080-3929,"레이더 서울에서는 커피와 티 그리고 계절음료와 에이드, 많은 디저트와 와인까지 준비 되어 있습니다. 좌석은 1층, 2층, 마당, 루프탑까지 준비 되어 있습니다.","https://map.naver.com/p/entry/place/1525007973?c=15.00,0,0,0,dh&placePath=/menu"
